Hugo_Symbol	All	TNBC	ER+	ER-	LumA	LumB	Basal	Her2
POU6F2	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.009569377990430622	0.0	0.0	0.0
PPA1	0.004319654427645789	0.005333333333333333	0.002824858757062147	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPAN	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.0	0.0	0.024691358024691357	0.0
PPAN-P2RY11	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPAP2A	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPAP2C	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.004784688995215311	0.0	0.0	0.018867924528301886
PPAPDC1B	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PPAPDC3	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PPARA	0.0021598272138228943	0.0026666666666666666	0.0	0.009708737864077669	0.004784688995215311	0.0	0.0	0.0
PPARG	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPARGC1A	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.008928571428571428	0.0	0.0
PPARGC1B	0.008639308855291577	0.008	0.00847457627118644	0.009708737864077669	0.009569377990430622	0.0	0.012345679012345678	0.018867924528301886
PPAT	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PPEF1	0.01511879049676026	0.016	0.01694915254237288	0.009708737864077669	0.019138755980861243	0.0	0.024691358024691357	0.018867924528301886
PPEF2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.018867924528301886
PPFIA1	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.004784688995215311	0.008928571428571428	0.012345679012345678	0.0
PPFIA2	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.004784688995215311	0.008928571428571428	0.012345679012345678	0.0
PPFIA4	0.004319654427645789	0.0	0.0	0.019417475728155338	0.0	0.0	0.024691358024691357	0.0
PPHLN1	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.0	0.0	0.018867924528301886
PPIAL4G	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPIB	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.008928571428571428	0.0	0.0
PPID	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPIG	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPIH	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PPIL2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPIL4	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPIL5	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPIP5K1	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.008928571428571428	0.0	0.0
PPIP5K2	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.0	0.0	0.012345679012345678	0.018867924528301886
PPL	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.009569377990430622	0.008928571428571428	0.0	0.0
PPM1B	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPM1E	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.0	0.017857142857142856	0.0	0.018867924528301886
PPM1F	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPM1H	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PPM1L	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.0	0.017857142857142856	0.012345679012345678	0.0
PPOX	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
